Page #;Overall Ranking;Solution;Sector;Link to Writeup, References, and Errata;Tech Assessment;Total Atmospheric CO2-EQ Reduction (GT);NET COST (BILLIONS US $);SAVINGS (BILLIONS US $);Article Page Name
41;23;Farmland Restoration;Food;http://www.drawdown.org/solutions/food/farmland-restoration;http://www.drawdown.org/sites/default/files/tech_references/References%20FARMLAND%20RESTORATION.pdf;14.08;$72.24 ;$1,342.47 ;Farmland Restoration
48;24;Improved Rice Cultivation;Food;http://www.drawdown.org/solutions/food/improved-rice-cultivation;http://www.drawdown.org/sites/default/files/tech_references/References%20IMPROVED%20RICE%20PRODUCTION_0.pdf;11.34;N/A;$519.06 ;Improved Rice Cultivation
14;25;Concentrated Solar;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/concentrated-solar;http://www.drawdown.org/sites/default/files/tech_references/References%20CONCENTRATED%20SOLAR.pdf;10.9;$1,319.70 ;$413.85 ;Concentrated Solar
142;26;Electric Vehicles;Transport;http://www.drawdown.org/solutions/transport/electric-vehicles;http://www.drawdown.org/sites/default/files/tech_references/References%20ELECTRIC%20VEHICLES.pdf;10.8;$14,148.00 ;$9,726.40 ;Electric Vehicles
99;27;District Heating;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/district-heating;http://www.drawdown.org/sites/default/files/tech_references/References%20DISTRICT%20HEATING.pdf;9.38;$457.10 ;$3,543.50 ;District Heating
46;28;Multistrata Agroforestry;Food;http://www.drawdown.org/solutions/food/multistrata-agroforestry;http://www.drawdown.org/sites/default/files/tech_references/References%20MULTISTRATA%20AGROFORESTRY.pdf;9.28;$26.76 ;$709.75 ;Multistrata Agroforestry
12;29;Wave and Tidal;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/wave-and-tidal;http://www.drawdown.org/sites/default/files/tech_references/References%20WAVE%20AND%20TIDAL.pdf;9.2;$411.84 ;($1,004.70);Wave and Tidal
26;30;Methane Digesters (Large);Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/methane-digesters-large;http://www.drawdown.org/sites/default/files/tech_references/References%20METHANE%20DIGESTERS.pdf;8.4;$201.41 ;$148.83 ;Methane Digesters (Large)
101;31;Insulation;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/insulation;http://www.drawdown.org/solutions/buildings-and-cities/insulation;8.27;$3,655.92 ;$2,513.33 ;Insulation
140;32;Ships;Transport;http://www.drawdown.org/solutions/transport/ships;http://www.drawdown.org/sites/default/files/tech_references/References%20OCEANIC%20FREIGHT%20EFFICIENCY.pdf;7.87;$915.93 ;$424.38 ;Ships
92;33;LED Lighting (Household);Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/led-lighting-household;http://www.drawdown.org/sites/default/files/tech_references/References%20LED%20LIGHTING_0.pdf;7.81;$323.52 ;$1,729.54 ;LED Lighting (Household)
16;34;Biomass;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/biomass;http://www.drawdown.org/sites/default/files/tech_references/References%20BIOMASS%20ENERGY.pdf;7.5;$402.31 ;$519.35 ;Biomass
117;35;Bamboo;Land Use;http://www.drawdown.org/solutions/land-use/bamboo;http://www.drawdown.org/sites/default/files/tech_references/References%20BAMBOO.pdf;7.22;$23.79 ;$264.80 ;Bamboo
162;36;Alternative Cement;Materials;http://www.drawdown.org/solutions/materials/alternative-cement;http://www.drawdown.org/sites/default/files/tech_references/References%20ALTERNATIVE%20CEMENT.pdf;6.69;($273.90);N/A;Alternative Cement
136;37;Mass Transit;Transport;http://www.drawdown.org/solutions/transport/mass-transit;http://www.drawdown.org/sites/default/files/tech_references/References%20MASS%20TRANSIT.pdf;6.57;N/A;$2,379.73 ;Mass Transit
108;38;Forest Protection;Land Use;http://www.drawdown.org/solutions/land-use/forest-protection;http://www.drawdown.org/sites/default/files/tech_references/References%20FOREST%20PROTECTION.pdf;6.2;N/A;N/A;Forest Protection
124;39;Indigenous Peoples’ Land Management;Land Use;http://www.drawdown.org/solutions/land-use/indigenous-peoples%E2%80%99-land-management;http://www.drawdown.org/sites/default/files/tech_references/References%20INDIGENOUS%20PEOPLES%20LAND%20MANAGEMENT.pdf;6.19;N/A;N/A;Indigenous Peoples Land Management
152;40;Trucks;Transport;http://www.drawdown.org/solutions/transport/trucks;http://www.drawdown.org/sites/default/files/tech_references/References%20TRUCK%20FUEL%20EFFICIENCY.pdf;6.18;$543.54 ;$2,781.63 ;Trucks
36;41;Solar Water;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/solar-water;http://www.drawdown.org/sites/default/files/tech_references/References%20SOLAR%20HOT%20WATER.pdf;6.08;$2.99 ;$773.65 ;Solar Water
94;42;Heat Pumps;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/heat-pumps;http://www.drawdown.org/sites/default/files/tech_references/References%20HEAT%20PUMPS.pdf;5.2;$118.71 ;$1,546.66 ;Heat Pumps
150;43;Airplanes;Transport;http://www.drawdown.org/solutions/transport/airplanes;http://www.drawdown.org/sites/default/files/tech_references/References%20AIRPLANE%20FUEL%20EFFICIENCY.pdf;5.05;$662.42 ;$3,187.80 ;Airplanes
93;44;LED Lighting (Commercial);Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/led-lighting-commercial;http://www.drawdown.org/sites/default/files/tech_references/References%20LED%20LIGHTING.pdf;5.04;($205.05);$1,089.63 ;LED Lighting (Commercial)
106;45;Building Automation;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/building-automation;http://www.drawdown.org/sites/default/files/tech_references/References%20BUILDING%20AUTOMATION.pdf;4.62;$68.12 ;$880.55 ;Building Automation
170;46;Water Saving - Home;Materials;http://www.drawdown.org/solutions/materials/water-saving-home;http://www.drawdown.org/solutions/materials/water-saving-home;4.61;$72.44 ;$1,800.12 ;Water Saving  Home
168;47;Bioplastic;Materials;http://www.drawdown.org/solutions/materials/bioplastic;http://www.drawdown.org/sites/default/files/tech_references/References%20BIOPLASTIC.pdf;4.3;$19.15 ;N/A;Bioplastic
27;48;In-Stream Hydro;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/in-stream-hydro;http://www.drawdown.org/sites/default/files/tech_references/References%20IN-STREAM%20HYDRO.pdf;4;$202.53 ;$568.36 ;In Stream Hydro
148;49;Cars;Transport;http://www.drawdown.org/solutions/transport/cars;http://www.drawdown.org/sites/default/files/tech_references/References%20CAR%20FUEL%20EFFICIENCY.pdf;4;($598.69);$1,761.72 ;Cars
22;50;Cogeneration;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/cogeneration;http://www.drawdown.org/sites/default/files/tech_references/References%20COGENERATION.pdf;3.97;$279.25 ;$566.93 ;Cogeneration
121;51;Perennial Biomass;Land Use;http://www.drawdown.org/solutions/land-use/perennial-biomass;http://www.drawdown.org/sites/default/files/tech_references/References%20PERENNIAL%20BIOMASS.pdf;3.33;$77.94 ;$541.89 ;Perennial Biomass
112;52;Coastal Wetlands;Land Use;http://www.drawdown.org/solutions/land-use/coastal-wetlands;http://www.drawdown.org/sites/default/files/tech_references/References%20COASTAL%20WETLANDS.pdf;3.19;N/A;N/A;Coastal Wetlands
48;53;System of Rice Intensification;Food;http://www.drawdown.org/solutions/food/system-rice-intensification;http://www.drawdown.org/sites/default/files/tech_references/References%20SYSTEM%20OF%20RICE%20INTENSIFICATION.pdf;3.13;N/A;$677.83 ;System of Rice Intensification
86;54;Walkable Cities;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/walkable-cities;http://www.drawdown.org/sites/default/files/tech_references/References%20WALKABLE%20CITIES.pdf;2.92;N/A;$3,278.24 ;Walkable Cities
158;55;Household Recycling;Materials;http://www.drawdown.org/solutions/materials/household-recycling;http://www.drawdown.org/sites/default/files/tech_references/References%20HOUSEHOLD%20%26%20INDUSTRIAL%20RECYCLING_0.pdf;2.77;$366.92 ;$71.13 ;Household Recycling
160;56;Industrial Recycling;Materials;http://www.drawdown.org/solutions/materials/industrial-recycling;http://www.drawdown.org/sites/default/files/tech_references/References%20HOUSEHOLD%20%26%20INDUSTRIAL%20RECYCLING.pdf;2.77;$366.92 ;$71.13 ;Industrial Recycling
98;57;Smart Thermostats;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/smart-thermostats;http://www.drawdown.org/sites/default/files/tech_references/References%20SMART%20THERMOSTATS.pdf;2.62;$74.16 ;$640.10 ;Smart Thermostats
100;58;Landfill Methane;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/landfill-methane;http://www.drawdown.org/sites/default/files/tech_references/References%20LANDFILL%20METHANE.pdf;2.5;($1.82);$67.57 ;Landfill Methane
88;59;Bike Infrastructure;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/bike-infrastructure;http://www.drawdown.org/sites/default/files/tech_references/References%20BIKE%20INFRASTRUCTURE.pdf;2.31;($2,026.97);$400.47 ;Bike Infrastructure
62;60;Composting;Food;http://www.drawdown.org/solutions/food/composting;http://www.drawdown.org/sites/default/files/tech_references/References%20COMPOSTING.pdf;2.28;($63.72);($60.82);Composting
96;61;Smart Glass;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/smart-glass;http://www.drawdown.org/sites/default/files/tech_references/References%20SMART%20GLASS.pdf;2.19;$932.30 ;$325.10 ;Smart Glass
76;62;Women Smallholders;Women and Girls;http://www.drawdown.org/solutions/women-and-girls/women-smallholders;http://www.drawdown.org/sites/default/files/tech_references/References%20WOMEN%20SMALLHOLDERS_0.pdf;2.06;N/A;$87.60 ;Women Smallholders
154;63;Telepresence;Transport;http://www.drawdown.org/solutions/transport/telepresence;http://www.drawdown.org/sites/default/files/tech_references/References%20TELEPRESENCE.pdf;1.99;$127.72 ;$1,310.59 ;Telepresence
26;64;Methane Digesters (Small);Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/methane-digesters-small;http://www.drawdown.org/sites/default/files/tech_references/References%20METHANE%20DIGESTERS_0.pdf;1.9;$15.50 ;$13.90 ;Methane Digesters (Small)
56;65;Nutrient Management;Food;http://www.drawdown.org/solutions/food/nutrient-management;http://www.drawdown.org/sites/default/files/tech_references/References%20NUTRIENT%20MANAGEMENT.pdf;1.81;N/A;$102.32 ;Nutrient Management
138;66;High-speed Rail;Transport;http://www.drawdown.org/solutions/transport/high-speed-rail;http://www.drawdown.org/sites/default/files/tech_references/References%20HIGH%20SPEED%20RAIL.pdf;1.52;$1,038.42 ;$368.10 ;High speed Rail
68;67;Farmland Irrigation;Food;http://www.drawdown.org/solutions/food/farmland-irrigation;http://www.drawdown.org/sites/default/files/tech_references/References%20FARMLAND%20IRRIGATION_0.pdf;1.33;$216.16 ;$429.67 ;Farmland Irrigation
28;68;Waste-to-Energy;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/waste-to-energy;http://www.drawdown.org/sites/default/files/tech_references/References%20WASTE-TO-ENERGY_0.pdf;1.1;$36.00 ;$19.82 ;Waste to Energy
146;69;Electric Bikes;Transport;http://www.drawdown.org/solutions/transport/electric-bikes;http://www.drawdown.org/sites/default/files/tech_references/References%20ELECTRIC%20BIKES.pdf;0.96;$106.75 ;$226.07 ;Electric Bikes
166;70;Recycled Paper;Materials;http://www.drawdown.org/solutions/materials/recycled-paper;http://www.drawdown.org/sites/default/files/tech_references/References%20RECYCLED%20PAPER.pdf;0.9;$573.48 ;N/A;Recycled Paper
104;71;Water Distribution;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/water-distribution;http://www.drawdown.org/sites/default/files/tech_references/References%20WATER%20DISTRIBUTION.pdf;0.87;$137.37 ;$903.11 ;Water Distribution
64;72;Biochar;Food;http://www.drawdown.org/solutions/food/biochar;http://www.drawdown.org/sites/default/files/tech_references/References%20BIOCHAR.pdf;0.81;N/A;N/A;Biochar
90;73;Green Roofs;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/green-roofs;http://www.drawdown.org/sites/default/files/tech_references/References%20GREEN%20ROOFS.pdf;0.77;$1,393.29 ;$988.46 ;Green Roofs
156;74;Trains;Transport;http://www.drawdown.org/solutions/transport/trains;http://www.drawdown.org/sites/default/files/tech_references/References%20TRAIN%20FUEL%20EFFICIENCY.pdf;0.52;$808.64 ;$313.86 ;Trains
144;75;Ridesharing;Transport;http://www.drawdown.org/solutions/transport/ridesharing;http://www.drawdown.org/sites/default/files/tech_references/References%20RIDESHARING.pdf;0.32;N/A;$185.56 ;Ridesharing
23;76;Micro Wind;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/micro-wind;http://www.drawdown.org/sites/default/files/tech_references/References%20MICRO%20WIND.pdf;0.2;$36.12 ;$19.90 ;Micro Wind
34;77;Energy Storage (Distributed);Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/energy-storage-distributed;http://www.drawdown.org/sites/default/files/tech_references/References%20ENERGY%20STORAGE%20%28DISTRIBUTED%29%20.pdf;N/A;N/A;N/A;Energy Storage (Distributed)
32;77;Energy Storage (Utilities);Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/energy-storage-utilities;http://www.drawdown.org/sites/default/files/tech_references/References%20ENERGY%20STORAGE%20%28UTILITIES%29.pdf;N/A;N/A;N/A;Energy Storage (Utilities)
30;77;Grid Flexibility;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/grid-flexibility;http://www.drawdown.org/sites/default/files/tech_references/References%20GRID%20FLEXIBILITY.pdf;N/A;N/A;N/A;Grid Flexibility
5;78;Microgrids;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/microgrids;http://www.drawdown.org/sites/default/files/tech_references/References%20MICROGRIDS.pdf;N/A;N/A;N/A;Microgrids
84;79;Net Zero Buildings;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/net-zero-buildings;http://www.drawdown.org/sites/default/files/tech_references/References%20NET%20ZERO%20BUILDINGS.pdf;N/A;N/A;N/A;Net Zero Buildings
102;80;Retrofitting;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/retrofitting;http://www.drawdown.org/sites/default/files/tech_references/References%20RETROFITTING.pdf;N/A;N/A;N/A;Retrofitting
